timestamp,consommation_mw
2026-06-23 22:00:00+00:00,51496.0
2026-06-23 22:30:00+00:00,49753.0
2026-06-23 23:00:00+00:00,46936.0
2026-06-23 23:30:00+00:00,46243.0
2026-06-24 00:00:00+00:00,45135.0
2026-06-24 00:30:00+00:00,43976.0
2026-06-24 01:00:00+00:00,42478.0
2026-06-24 01:30:00+00:00,41632.0
2026-06-24 02:00:00+00:00,40917.0
2026-06-24 02:30:00+00:00,40761.0
2026-06-24 03:00:00+00:00,40702.0
2026-06-24 03:30:00+00:00,41670.0
2026-06-24 04:00:00+00:00,42280.0
2026-06-24 04:30:00+00:00,43957.0
2026-06-24 05:00:00+00:00,45425.0
2026-06-24 05:30:00+00:00,47241.0
2026-06-24 06:00:00+00:00,49000.0
2026-06-24 06:30:00+00:00,50876.0
2026-06-24 07:00:00+00:00,52616.0
2026-06-24 07:30:00+00:00,54042.0
2026-06-24 08:00:00+00:00,55310.0
2026-06-24 08:30:00+00:00,56118.0
2026-06-24 09:00:00+00:00,57127.0
2026-06-24 09:30:00+00:00,57888.0
2026-06-24 10:00:00+00:00,58771.0
2026-06-24 10:30:00+00:00,59670.0
2026-06-24 11:00:00+00:00,60255.0
2026-06-24 11:30:00+00:00,59565.0
2026-06-24 12:00:00+00:00,59457.0
2026-06-24 12:30:00+00:00,60149.0
2026-06-24 13:00:00+00:00,59852.0
2026-06-24 13:30:00+00:00,59229.0
2026-06-24 14:00:00+00:00,58340.0
2026-06-24 14:30:00+00:00,57958.0
2026-06-24 15:00:00+00:00,57549.0
2026-06-24 15:30:00+00:00,57226.0
2026-06-24 16:00:00+00:00,57244.0
2026-06-24 16:30:00+00:00,57462.0
2026-06-24 17:00:00+00:00,57904.0
2026-06-24 17:30:00+00:00,57816.0
2026-06-24 18:00:00+00:00,57369.0
2026-06-24 18:30:00+00:00,56279.0
2026-06-24 19:00:00+00:00,55102.0
2026-06-24 19:30:00+00:00,54419.0
2026-06-24 20:00:00+00:00,53747.0
2026-06-24 20:30:00+00:00,54566.0
2026-06-24 21:00:00+00:00,55035.0
2026-06-24 21:30:00+00:00,53399.0
2026-06-24 22:00:00+00:00,52056.0
2026-06-24 22:30:00+00:00,50186.0
2026-06-24 23:00:00+00:00,47691.0
2026-06-24 23:30:00+00:00,47163.0
2026-06-25 00:00:00+00:00,46333.0
2026-06-25 00:30:00+00:00,45096.0
2026-06-25 01:00:00+00:00,43567.0
2026-06-25 01:30:00+00:00,42546.0
